import time: self [us] | cumulative | imported package
import time:       400 |        400 |                     pandas.core.util.numba_
import time:       222 |        222 |                     pandas.core.window.common
import time:       291 |        291 |                       pandas._libs.window.indexers
import time:       878 |       1169 |                     pandas.core.window.indexers
import time:       267 |        267 |                     pandas.core.window.numba_
import time:       421 |        421 |                       pandas.core.groupby.base
import time:      5056 |       5477 |                     pandas.core.window.rolling
import time:      1182 |      10701 |                   pandas.core.window.ewm
import time:      1654 |       1654 |                   pandas.core.window.expanding
import time:       214 |      12568 |                 pandas.core.window
import time:       184 |        184 |                     pandas.core.reshape
import time:       790 |        973 |                   pandas.core.reshape.concat
import time:      1014 |       1014 |                     dataclasses
import time:       525 |        525 |                     gzip
import time:      1222 |       1222 |                     zipfile
import time:      2021 |       4781 |                   pandas.io.common
import time:      2922 |       8676 |                 pandas.io.formats.format
import time:      7026 |      37326 |               pandas.core.generic
import time:       645 |        645 |               pandas.core.internals.construction
import time:       165 |        165 |                 pandas.core.reshape.util
import time:       453 |        618 |               pandas.core.reshape.melt
import time:       389 |        389 |                 pandas._libs.reshape
import time:       700 |        700 |                 pandas.core.indexes.accessors
import time:       181 |        181 |                   pandas.arrays
import time:       709 |        890 |                 pandas.core.tools.datetimes
import time:      1861 |       1861 |                   pandas.plotting._core
import time:       290 |        290 |                   pandas.plotting._misc
import time:       211 |       2361 |                 pandas.plotting
import time:      4675 |       9013 |               pandas.core.series
import time:       942 |        942 |               pandas.io.formats.info
import time:      8643 |      57184 |             pandas.core.frame
import time:       412 |        412 |               pandas._libs.groupby
import time:       264 |        264 |               pandas.core.groupby.numba_
import time:       216 |        216 |                   pandas.core.groupby.categorical
import time:       494 |        709 |                 pandas.core.groupby.grouper
import time:       849 |       1558 |               pandas.core.groupby.ops
import time:      2878 |       5110 |             pandas.core.groupby.groupby
import time:      2451 |      91929 |           pandas.core.groupby.generic
import time:       150 |      92079 |         pandas.core.groupby
import time:       259 |     130719 |       pandas.core.api
import time:       157 |        157 |       pandas.tseries.api
import time:       130 |        130 |         pandas.core.computation
import time:       128 |        128 |               pandas.core.computation.common
import time:       212 |        339 |             pandas.core.computation.align
import time:       235 |        235 |                 pandas.compat.chainmap
import time:       228 |        463 |               pandas.core.computation.scope
import time:      1357 |       1819 |             pandas.core.computation.ops
import time:       313 |       2470 |           pandas.core.computation.engines
import time:       249 |        249 |             pandas.core.computation.parsing
import time:      1370 |       1619 |           pandas.core.computation.expr
import time:       203 |       4291 |         pandas.core.computation.eval
import time:       187 |       4607 |       pandas.core.computation.api
import time:      1003 |       1003 |         pandas.core.reshape.merge
import time:       986 |        986 |         pandas.core.reshape.pivot
import time:       353 |        353 |         pandas.core.reshape.reshape
import time:       237 |        237 |         pandas.core.reshape.tile
import time:       191 |       2769 |       pandas.core.reshape.api
import time:       184 |        184 |         pandas.api.extensions
import time:       129 |        129 |         pandas.api.indexers
import time:       135 |        135 |           pandas.core.dtypes.api
import time:       140 |        275 |         pandas.api.types
import time:       193 |        779 |       pandas.api
import time:       237 |        237 |       pandas.util._print_versions
import time:       152 |        152 |         pandas.io.clipboards
import time:       121 |        121 |               backports_abc
import time:       552 |        672 |             pandas._libs.parsers
import time:       169 |        169 |             pandas.io.excel._util
import time:       159 |        159 |               pandas.io.date_converters
import time:      2123 |       2282 |             pandas.io.parsers
import time:       290 |        290 |             pandas.io.excel._odfreader
import time:       375 |        375 |             pandas.io.excel._openpyxl
import time:       206 |        206 |             pandas.io.excel._pyxlsb
import time:       296 |        296 |             pandas.io.excel._xlrd
import time:      1226 |       5512 |           pandas.io.excel._base
import time:       204 |        204 |             pandas._libs.json
import time:       189 |        189 |               pandas.io.formats._color_data
import time:       289 |        289 |               pandas.io.formats.css
import time:       739 |       1217 |             pandas.io.formats.excel
import time:       326 |       1745 |           pandas.io.excel._odswriter
import time:       452 |        452 |           pandas.io.excel._xlsxwriter
import time:       211 |        211 |           pandas.io.excel._xlwt
import time:       171 |       8089 |         pandas.io.excel
import time:       264 |        264 |         pandas.io.feather_format
import time:       224 |        224 |         pandas.io.gbq
import time:       794 |        794 |         pandas.io.html
import time:       747 |        747 |             pandas.io.json._normalize
import time:       318 |        318 |             pandas.io.json._table_schema
import time:      1169 |       2232 |           pandas.io.json._json
import time:       161 |       2393 |         pandas.io.json
import time:       170 |        170 |         pandas.io.orc
import time:       522 |        522 |         pandas.io.parquet
import time:       275 |        275 |           pandas.compat.pickle_compat
import time:       455 |        729 |         pandas.io.pickle
import time:       819 |        819 |           pandas.core.computation.pytables
import time:      2639 |       3457 |         pandas.io.pytables
import time:       331 |        331 |           pandas.io.sas.sasreader
import time:       165 |        495 |         pandas.io.sas
import time:       207 |        207 |         pandas.io.spss
import time:       738 |        738 |         pandas.io.sql
import time:      3220 |       3220 |         pandas.io.stata
import time:       286 |      21734 |       pandas.io.api
import time:       225 |        225 |       pandas.util._tester
import time:       205 |        205 |             cmath
import time:       268 |        472 |           pandas._libs.testing
import time:      1385 |       1857 |         pandas._testing
import time:       146 |       2002 |       pandas.testing
import time:       150 |        150 |       pandas._version
import time:       474 |     195447 |     pandas
import time:       421 |        421 |         astropy.coordinates.errors
import time:       322 |        322 |           astropy.coordinates.angle_utilities
import time:       979 |       1301 |         astropy.coordinates.angles
import time:       168 |        168 |             astropy.coordinates.matrix_utilities
import time:       582 |        749 |           astropy.coordinates.transformations
import time:       229 |        229 |             astropy.coordinates.distances
import time:       803 |        803 |                 astropy._erfa.ufunc
import time:      1355 |       2158 |               astropy._erfa.core
import time:       278 |        278 |               astropy._erfa.helpers
import time:       244 |       2678 |             astropy._erfa
import time:      1599 |       4506 |           astropy.coordinates.representation
import time:       365 |        365 |                 _socket
import time:      2009 |       2373 |               socket
import time:       187 |        187 |                 email
